|11-09-2017 15:23:27:674 |  ***** login (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-09-2017 15:24:08:183 |  FAIL TS_01 login Overview CHROME
|11-09-2017 15:24:09:077 | 
|11-09-2017 15:24:09:077 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 15:24:09:083 |  FAIL TC_001 changeNickname MyVehicles CHROME
|11-09-2017 15:28:49:863 | 
|11-09-2017 15:28:49:863 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 15:30:35:539 |  PASS TS_01 login MyVehicles CHROME
|11-09-2017 15:31:09:967 | 
|11-09-2017 15:31:09:969 |  ***** login (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-09-2017 15:35:21:335 | 
|11-09-2017 15:35:21:338 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 15:37:07:184 |  PASS TS_01 login MyVehicles CHROME
|11-09-2017 15:37:40:103 | 
|11-09-2017 15:37:40:104 |  ***** login (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-09-2017 15:43:17:216 | 
|11-09-2017 15:43:17:217 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 15:45:15:708 |  PASS TS_01 login MyVehicles CHROME
|11-09-2017 15:45:15:752 | 
|11-09-2017 15:45:15:752 |  ***** login (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-09-2017 15:45:56:304 |  FAIL TS_01 login Overview CHROME
|11-09-2017 15:45:57:290 | 
|11-09-2017 15:45:57:290 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:22:50:408 | 
|11-09-2017 16:22:50:409 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:23:19:925 |  PASS TS_01 login MyVehicles CHROME
|11-09-2017 16:23:19:982 | 
|11-09-2017 16:23:19:983 |  ***** login (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-09-2017 16:23:20:032 |  FAIL TS_01 login Overview CHROME
|11-09-2017 16:23:20:046 | 
|11-09-2017 16:23:20:046 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:25:04:821 | 
|11-09-2017 16:25:04:822 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:26:37:642 |  PASS TS_01 login MyVehicles CHROME
|11-09-2017 16:26:37:679 | 
|11-09-2017 16:26:37:679 |  ***** login (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-09-2017 16:27:18:236 |  FAIL TS_01 login Overview CHROME
|11-09-2017 16:27:19:237 | 
|11-09-2017 16:27:19:237 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:31:19:054 | 
|11-09-2017 16:31:19:056 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:32:41:314 |  PASS TS_01 login MyVehicles CHROME
|11-09-2017 16:33:01:059 | 
|11-09-2017 16:33:01:059 |  ***** login (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-09-2017 16:33:01:092 |  FAIL TS_01 login Overview CHROME
|11-09-2017 16:33:01:100 | 
|11-09-2017 16:33:01:100 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:33:01:114 |  FAIL TC_001 changeNickname MyVehicles CHROME
